"","X","median_income","GEO_ID","index","percent_white","percent_in_labor_force","percent_no_available_car","percent_public_trans_commute","life_expectancy","se.e.0..","tree_density","percent_not_alive","avg_tree_diam"
"1144",1143,NA,36061021703,"Census Tract 217.03, New York County, New York: Summary level: 140, state:36> county:061> tract:021703",100,50,0,0,NA,NA,"Low","Low","Low"
"1145",1144,47155,36061021800,"Census Tract 218, New York County, New York: Summary level: 140, state:36> county:061> tract:021800",21.1520676443388,48.4872506275598,34.984806447351,31.3119302417757,82.7,3.1029,"High","Low","Low"
"1146",1145,19025,36061021900,"Census Tract 219, New York County, New York: Summary level: 140, state:36> county:061> tract:021900",9.59225121074832,34.2290267145759,24.1368536166224,26.7614435244493,80.6,3.6248,"Low","High","Low"
"1147",1146,47808,36061022000,"Census Tract 220, New York County, New York: Summary level: 140, state:36> county:061> tract:022000",18.200408997955,53.8575943483919,32.7384272169548,37.6649934932143,79.6,2.6268,"High","Low","Low"
"1148",1147,42284,36061022102,"Census Tract 221.02, New York County, New York: Summary level: 140, state:36> county:061> tract:022102",22.9689493832412,62.6541897065079,33.5601871544024,38.7920034028073,76.2,2.109,"High","Low","Low"
"1149",1148,32361,36061022200,"Census Tract 222, New York County, New York: Summary level: 140, state:36> county:061> tract:022200",29.5241178374879,40.1748138556167,24.7976691485918,29.4593719650372,76.2,2.6563,"High","High","Low"
"1150",1149,37500,36061022301,"Census Tract 223.01, New York County, New York: Summary level: 140, state:36> county:061> tract:022301",30.3501945525292,59.9472825404795,42.864315300615,45.0232207857412,82.3,2.231,"High","High","Low"
"1151",1150,25000,36061022400,"Census Tract 224, New York County, New York: Summary level: 140, state:36> county:061> tract:022400",12.5219794021603,39.6759608138659,26.827430293896,25.797538306958,72.9,1.2462,"Medium","Medium","Low"
"1152",1151,48157,36061022500,"Census Tract 225, New York County, New York: Summary level: 140, state:36> county:061> tract:022500",30.3242769500438,55.4679131366248,33.6449508228649,35.3783231083845,81.3,1.5379,"Medium","Medium","Low"
"1153",1152,36627,36061022600,"Census Tract 226, New York County, New York: Summary level: 140, state:36> county:061> tract:022600",14.2148760330579,49.9173553719008,33.7662337662338,35.6080283353011,78,1.8908,"High","Medium","Low"
"1154",1153,47597,36061022700,"Census Tract 227, New York County, New York: Summary level: 140, state:36> county:061> tract:022700",32.1489001692047,58.413235570596,43.8428275991728,40.3271291596165,79.7,2.002,"High","Low","Medium"
"1155",1154,33910,36061022800,"Census Tract 228, New York County, New York: Summary level: 140, state:36> county:061> tract:022800",13.8974888200894,57.843137254902,29.3945648434812,28.3453732370141,75.9,2.2914,"High","Low","Medium"
"1156",1155,34898,36061022900,"Census Tract 229, New York County, New York: Summary level: 140, state:36> county:061> tract:022900",25.4012561060712,56.2572691323564,33.7752965806001,32.530821121191,80.9,1.9432,"High","High","Low"
"1157",1156,35569,36061023000,"Census Tract 230, New York County, New York: Summary level: 140, state:36> county:061> tract:023000",15.6280375850524,55.8591640565936,35.9542067177881,33.0813262771358,78.8,2.2385,"High","Low","Low"
"1158",1157,45262,36061023100,"Census Tract 231, New York County, New York: Summary level: 140, state:36> county:061> tract:023100",34.6589259796807,60.566037735849,40.3483309143686,43.2510885341074,78.3,1.6211,"High","Low","Medium"
"1159",1158,28800,36061023200,"Census Tract 232, New York County, New York: Summary level: 140, state:36> county:061> tract:023200",8.2078853046595,50.442054958184,32.1983273596177,28.2437275985663,72.7,1.6134,"High","Low","Low"
"1160",1159,41552,36061023300,"Census Tract 233, New York County, New York: Summary level: 140, state:36> county:061> tract:023300",25.7197414806111,56.9917743830787,39.9529964747356,38.1609870740305,81.3,2.1348,"High","Medium","Medium"
"1161",1160,38854,36061023400,"Census Tract 234, New York County, New York: Summary level: 140, state:36> county:061> tract:023400",13.933014354067,61.3397129186603,38.6411483253589,35.8468899521531,NA,NA,"High","Low","Low"
"1162",1161,34846,36061023501,"Census Tract 235.01, New York County, New York: Summary level: 140, state:36> county:061> tract:023501",14.0514517827591,49.5862795245976,24.9736723333835,29.5622085151196,77.9,1.6235,"High","Medium","Medium"
"1163",1162,29293,36061023502,"Census Tract 235.02, New York County, New York: Summary level: 140, state:36> county:061> tract:023502",16.1413043478261,57.1195652173913,39.7282608695652,37.0108695652174,72.6,2.1254,"High","High","Low"
"1164",1163,37232,36061023700,"Census Tract 237, New York County, New York: Summary level: 140, state:36> county:061> tract:023700",26.5771812080537,59.2080536912752,41.3422818791946,40.8993288590604,80,1.8266,"High","Medium","Low"
"1165",1164,47957,36061024100,"Census Tract 241, New York County, New York: Summary level: 140, state:36> county:061> tract:024100",24.6871444823663,60.4854000758438,32.0566300088484,30.1099734546834,81.4,1.5594,"High","High","Low"
"1166",1165,18275,36061024200,"Census Tract 242, New York County, New York: Summary level: 140, state:36> county:061> tract:024200",15.9617321248741,39.1742195367573,27.3665659617321,27.5176233635448,76,1.897,"Low","High","Low"
"1167",1166,38067,36061024301,"Census Tract 243.01, New York County, New York: Summary level: 140, state:36> county:061> tract:024301",26.03158430973,55.5017829852267,29.6994396332145,30.8711156393276,77.9,1.4555,"High","High","Medium"
"1168",1167,35394,36061024500,"Census Tract 245, New York County, New York: Summary level: 140, state:36> county:061> tract:024500",28.1929640810794,52.4551783623929,38.4264678701251,29.603844495102,88,2.9759,"High","High","Low"
"1169",1168,40559,36061024700,"Census Tract 247, New York County, New York: Summary level: 140, state:36> county:061> tract:024700",45.4396984924623,50,30.9798994974874,31.0175879396985,86.6,3.2909,"Low","Medium","Low"
"1170",1169,37679,36061024900,"Census Tract 249, New York County, New York: Summary level: 140, state:36> county:061> tract:024900",16.6163141993958,52.0392749244713,31.0422960725076,25.1510574018127,76.8,1.9032,"High","Low","Low"
"1171",1170,28688,36061025100,"Census Tract 251, New York County, New York: Summary level: 140, state:36> county:061> tract:025100",32.6740205401293,46.6337010270065,25.7512362114873,25.2947888931153,81.4,2.8561,"High","High","Low"
"1172",1171,36780,36061025300,"Census Tract 253, New York County, New York: Summary level: 140, state:36> county:061> tract:025300",36.1883665600131,53.5154647633112,31.1428337025187,27.3525309705472,87.2,2.3878,"High","High","Low"
"1173",1172,50228,36061025500,"Census Tract 255, New York County, New York: Summary level: 140, state:36> county:061> tract:025500",44.6863468634686,54.3173431734317,34.5387453874539,23.3948339483395,81.7,1.4541,"Low","High","Low"
"1174",1173,76686,36061025700,"Census Tract 257, New York County, New York: Summary level: 140, state:36> county:061> tract:025700",33.1983805668016,54.7683310841206,29.8920377867746,37.1569950517319,81.6,2.2775,"High","Low","Low"
"1175",1174,29702,36061026100,"Census Tract 261, New York County, New York: Summary level: 140, state:36> county:061> tract:026100",23.0735032602252,53.6010669828097,31.4834024896266,28.3195020746888,82.2,1.834,"High","High","Low"
"1176",1175,29308,36061026300,"Census Tract 263, New York County, New York: Summary level: 140, state:36> county:061> tract:026300",20.5043746783325,56.7267112712301,29.0066906845085,28.9758106021616,82.8,1.4539,"High","High","Low"
"1177",1176,39033,36061026700,"Census Tract 267, New York County, New York: Summary level: 140, state:36> county:061> tract:026700",61.1443210930828,45.0469684030743,17.2502134927413,20.0256191289496,82.2,2.4315,"High","Low","Low"
"1178",1177,32585,36061026900,"Census Tract 269, New York County, New York: Summary level: 140, state:36> county:061> tract:026900",24.7370246214311,57.5309212807768,38.041844873425,31.8807074326667,76.6,1.0955,"High","High","Low"
"1179",1178,49750,36061027100,"Census Tract 271, New York County, New York: Summary level: 140, state:36> county:061> tract:027100",50.8553173948887,58.3985985160759,33.0482275350371,29.5239076669415,80,1.3609,"High","High","Low"
"1180",1179,74621,36061027300,"Census Tract 273, New York County, New York: Summary level: 140, state:36> county:061> tract:027300",71.0598413842826,63.5472242249459,37.1304974765681,36.2364816149964,85.7,2.3481,"High","Low","Low"
"1181",1180,91552,36061027500,"Census Tract 275, New York County, New York: Summary level: 140, state:36> county:061> tract:027500",72.2790948275862,60.6681034482759,28.448275862069,28.6907327586207,86.5,2.3704,"Low","High","High"
"1182",1181,28449,36061027700,"Census Tract 277, New York County, New York: Summary level: 140, state:36> county:061> tract:027700",31.3310399576608,38.5551733262768,27.0309605715798,25.3506218576343,82.7,1.6878,"High","High","Low"
"1183",1182,48242,36061027900,"Census Tract 279, New York County, New York: Summary level: 140, state:36> county:061> tract:027900",26.560664920047,59.7795645496431,36.7603216189358,33.5531665010389,84.9,1.9431,"High","Medium","Low"
"1184",1183,49612,36061028300,"Census Tract 283, New York County, New York: Summary level: 140, state:36> county:061> tract:028300",44.779792746114,59.339378238342,29.740932642487,36.9430051813472,81.9,1.9927,"Medium","High","Low"
"1185",1184,36500,36061028500,"Census Tract 285, New York County, New York: Summary level: 140, state:36> county:061> tract:028500",23.9264592440216,60.1697094368732,35.7032656209823,34.044741578812,81.6,1.2405,"High","High","Low"
"1186",1185,46891,36061028700,"Census Tract 287, New York County, New York: Summary level: 140, state:36> county:061> tract:028700",45.8766626360339,63.1438935912938,35.1148730350665,41.0157194679565,83,2.7908,"Low","Low","Medium"
"1187",1186,28743,36061029100,"Census Tract 291, New York County, New York: Summary level: 140, state:36> county:061> tract:029100",23.4741022939126,53.4651860257761,26.919024073924,26.4083650806517,89.1,3.7331,"High","Medium","Low"
"1188",1187,32509,36061029300,"Census Tract 293, New York County, New York: Summary level: 140, state:36> county:061> tract:029300",36.2114913122268,53.523078563053,33.1734356678393,27.8541733290694,87.2,3.7537,"Medium","High","Low"
"1189",1188,65160,36061029500,"Census Tract 295, New York County, New York: Summary level: 140, state:36> county:061> tract:029500",47.1582557569819,65.6050955414013,38.2778049975502,35.8035276825086,81.7,1.2084,"High","Medium","Low"
